Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.2998E-07,9.74E-09,0.081029,0,0,0,3.1846,0.049043,-1.5821E-08,-4.3995E-09,0.083631,1.8621E-10,0.13258,0,0,0,0,0,0,package://ski/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/base_link.STL,,desk_as-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tr0,-0.0039479,1.3746E-05,0.002543,0,0,0,0.054711,7.6178E-05,4.236E-09,-1.6794E-07,6.5079E-06,3.528E-09,7.7065E-05,0,0,0,0,0,0,package://ski/meshes/tr0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/tr0.STL,,axep-1,Coordinate System15,Axis3,trj0,revolute,0.24845,0,0.025,0,0.38044,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
wh0,0,0,0,0,0,0,0.049078,1.141E-05,2.8791E-23,-5.7056E-24,1.6312E-05,5.0372E-22,1.141E-05,0,0,0,0,0,0,package://ski/meshes/wh0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/wh0.STL,,wheel_0-1,Coordinate System22,Axis5,whj0,continuous,0,-0.079,0,0,-0.38044,0,tr0,0,1,0,,,,,,,,,,,,
wh1,2.7756E-17,0,0,0,0,0,0.049078,1.141E-05,2.8791E-23,-5.6925E-24,1.6312E-05,5.0392E-22,1.141E-05,0,0,0,0,0,0,package://ski/meshes/wh1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/wh1.STL,,wheel_1-1,Coordinate System23,Axis6,whj1,continuous,0,0.079,0,0,-0.38044,0,tr0,0,1,0,,,,,,,,,,,,
tr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://ski/meshes/tr1.STL,1,1,1,1,0,0,0,0,0,0,package://ski/meshes/tr1.STL,,axep-2,Coordinate System16,Axis4,trj1,revolute,-0.24845,0,0.025,0,0.38044,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
wh2,-2.7756E-17,0,3.4694E-18,0,0,0,0.049078,1.141E-05,8.5336E-23,8.0295E-23,1.6312E-05,3.9668E-22,1.141E-05,0,0,0,0,0,0,package://ski/meshes/wh2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/wh2.STL,,wheel_2-1,Coordinate System24,Axis7,whj2,continuous,0,0.079,0,0,0.38044,3.1416,tr1,0,1,0,,,,,,,,,,,,
wh3,-2.7756E-17,1.3878E-17,0,0,0,0,0.049078,1.141E-05,2.9498E-23,7.6507E-23,1.6312E-05,3.9541E-22,1.141E-05,0,0,0,0,0,0,package://ski/meshes/wh3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ski/meshes/wh3.STL,,wheel_3-1,Coordinate System25,Axis8,whj3,continuous,0,-0.079,0,0,0.38044,3.1416,tr1,0,1,0,,,,,,,,,,,,
